"Местное время в Максимово";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"31.12.2017 08:00";"-35.6";"739.3";"777.8";"";"71";"Штиль, безветрие";"0";"";"";"20–30%.";" ";"";"";"-35.7";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"10%  или менее, но не 0";"2500 или более, или облаков нет.";"Клочья (часто чечевицеобразные) высококучевых просвечивающих, непрерывно изменяющихся; расположены на одном или более уровнях.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"";"-39.0";"Осадков нет";"12";"";"";"Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.";"56.0";
"30.12.2017 20:00";"-27.9";"738.9";"776.2";"";"75";"Штиль, безветрие";"0";"";"";"40%.";" ";"";"";"";"-18.8";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые (часто в виде полос) и перисто-слоистые, распространяющиеся по небу и в целом обычно уплотняющиеся, но сплошная пелена поднимается над горизонтом менее чем на 45°.";"";"-31.0";"0.2";"12";"";"";"";"";
"30.12.2017 08:00";"-24.0";"739.6";"776.2";"";"75";"Штиль, безветрие";"0";"";"";"100%.";"Снег непрерывный слабый в срок наблюдения. ";"Снег и/или другие виды твердых осадков";"Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.";"-25.0";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"20–30%.";"2500 или более, или облаков нет.";"Высокослоистые просвечивающие.";"Перисто-слоистые, покрывающие все небо.";"";"-27.2";"0.8";"12";"";"";"Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.";"56.0";
"29.12.2017 20:00";"-11.5";"740.4";"775.3";"";"76";"Штиль, безветрие";"0";"";"";"100%.";"Снег непрерывный слабый в срок наблюдения. ";"Снег и/или другие виды твердых осадков";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"-9.1";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"70 – 80%.";"2500 или более, или облаков нет.";"Высокослоистые непросвечивающие или слоисто-дождевые.";"Перисто-слоистые, покрывающие все небо.";"";"-15.0";"3.0";"12";"";"";"";"";
"29.12.2017 08:00";"-12.0";"737.4";"772.3";"";"85";"Штиль, безветрие";"0";"";"";"100%.";"Снег непрерывный умеренный в срок наблюдения. ";"Снег и/или другие виды твердых осадков";"Облака покрывали более половины неба в течение всего соответствующего периода.";"-14.7";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"100%.";"600-1000";"Высокослоистые непросвечивающие или слоисто-дождевые.";"";"";"-14.0";"7.0";"12";"";"";"Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.";"54.0";
"28.12.2017 20:00";"-14.6";"735.1";"770.2";"";"80";"Ветер, дующий с севера";"1";"";"";"100%.";" ";"";"";"";"-14.5";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"100%.";"2500 или более, или облаков нет.";"Высокослоистые непросвечивающие или слоисто-дождевые.";"";"";"-17.3";"Осадков нет";"12";"";"";"";"";
"28.12.2017 08:00";"-21.6";"734.9";"771.1";"";"80";"Штиль, безветрие";"0";"";"";"70 – 80%.";" ";"";"";"-22.0";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перисто-слоистые, не распространяющиеся по небу и не покрывающие его полностью.";"";"-24.1";"0.3";"12";"";"";"Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.";"48.0";
"27.12.2017 20:00";"-12.4";"731.5";"766.1";"";"80";"Штиль, безветрие";"0";"";"";"90  или более, но не 100%";"Состояние неба в общем не изменилось. ";"Ливень (ливни).";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"-7.7";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"50%.";"600-1000";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"";"-15.1";"0.6";"12";"";"";"";"";
"27.12.2017 08:00";"-22.1";"727.9";"763.7";"";"75";"Штиль, безветрие";"0";"";"";"100%.";"Ливневый снег слабый в срок наблюдения или за последний час. ";"Ливень (ливни).";"Облака покрывали более половины неба в течение всего соответствующего периода.";"-36.7";"";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"100%.";"1000-1500";"";"";"";"-25.4";"0.7";"12";"";"";"Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.";"48.0";
"26.12.2017 20:00";"-36.1";"728.9";"766.9";"";"64";"Штиль, безветрие";"0";"";"";"20–30%.";" ";"";"";"";"-31.2";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"";"-40.4";"Осадков нет";"12";"";"";"";"";
"26.12.2017 08:00";"-42.8";"734.1";"773.5";"";"63";"Штиль, безветрие";"0";"";"";"20–30%.";" ";"";"";"-43.6";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"";"-46.9";"Осадков нет";"12";"";"";"Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.";"32.0";
"25.12.2017 20:00";"-41.1";"740.7";"780.1";"";"65";"Штиль, безветрие";"0";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"";"-45.1";"Осадков нет";"12";"";"";"";"";
"25.12.2017 08:00";"-41.6";"742.6";"782.4";"";"64";"Штиль, безветрие";"0";"";"";"Облаков нет.";"Дымка. ";"Облака покрывали половину неба или менее в течение всего соответствующего периода.";"Облака покрывали половину неба или менее в течение всего соответствующего периода.";"-41.7";"";"";"";"";"";"";"";"-45.7";"Осадков нет";"12";"";"";"Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.";"48.0";
"24.12.2017 20:00";"-31.4";"740.4";"778.2";"";"70";"Штиль, безветрие";"0";"";"";"Облаков нет.";" ";"";"";"";"-19.9";"";"";"";"";"";"";"-35.0";"Следы осадков";"12";"";"";"";"";
"24.12.2017 08:00";"-20.1";"736.3";"772.3";"";"75";"Штиль, безветрие";"0";"";"";"100%.";"Снег непрерывный слабый в срок наблюдения. ";"Снег и/или другие виды твердых осадков";"Облака покрывали более половины неба в течение всего соответствующего периода.";"-20.3";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"40%.";"2500 или более, или облаков нет.";"Высокослоистые непросвечивающие или слоисто-дождевые.";"Перисто-слоистые, покрывающие все небо.";"";"-23.4";"2.0";"12";"";"";"Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.";"48.0";
"23.12.2017 08:00";"-21.2";"735.1";"771.1";"";"75";"Штиль, безветрие";"0";"";"";"100%.";"Снег непрерывный слабый в срок наблюдения. ";"Снег и/или другие виды твердых осадков";"Облака покрывали более половины неба в течение всего соответствующего периода.";"-22.1";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"60%.";"2500 или более, или облаков нет.";"Высокослоистые непросвечивающие или слоисто-дождевые.";"Перисто-слоистые, покрывающие все небо.";"";"-24.5";"1.0";"12";"";"";"Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.";"48.0";
"22.12.2017 20:00";"-15.6";"733.3";"768.4";"";"80";"Штиль, безветрие";"0";"";"";"60%.";"Ливневый снег слабый в срок наблюдения или за последний час. ";"Ливень (ливни).";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"-13.1";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"40%.";"600-1000";"Клочья (часто чечевицеобразные) высококучевых просвечивающих, непрерывно изменяющихся; расположены на одном или более уровнях.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"";"-18.3";"0.8";"12";"";"";"";"";
"22.12.2017 08:00";"-19.8";"732.0";"767.7";"";"75";"Штиль, безветрие";"0";"";"";"40%.";"Состояние неба в общем не изменилось. ";"Ливень (ливни).";"Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.";"-21.0";"";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"40%.";"600-1000";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"";"-23.1";"0.2";"12";"";"";"Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.";"50.0";
"21.12.2017 20:00";"-11.3";"729.7";"763.9";"";"80";"Ветер, дующий с юга";"1";"";"";"100%.";"Ливневый снег слабый в срок наблюдения или за последний час. ";"Ливень (ливни).";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"-9.8";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"20–30%.";"600-1000";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перисто-слоистые, покрывающие все небо.";"";"-14.1";"1.0";"12";"";"";"";"";
"21.12.2017 08:00";"-10.1";"729.4";"763.6";"";"70";"Ветер, дующий с юга";"1";"";"";"100%.";"Состояние неба в общем не изменилось. ";"Ливень (ливни).";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"100%.";"600-1000";"";"";"";"-14.5";"0.2";"12";"";"";"Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.";"50.0";
"20.12.2017 20:00";"-9.8";"730.9";"765.1";"";"72";"Ветер, дующий с юга";"2";"";"";"100%.";"Ливневый снег слабый в срок наблюдения или за последний час. ";"Ливень (ливни).";"Метель";"";"-7.7";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"70 – 80%.";"600-1000";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"";"-14.0";"0.2";"12";"";"";"";"";
"20.12.2017 08:00";"-7.9";"730.4";"764.4";"";"70";"Ветер, дующий с юго-юго-запада";"3";"";"";"100%.";"Состояние неба в общем не изменилось. ";"Снег и/или другие виды твердых осадков";"Метель";"-8.0";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"60%.";"1000-1500";"Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.";"";"";"-12.5";"0.7";"12";"";"";"Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.";"52.0";
